Time;CPU Core #1;CPU Core #2;CPU Core #3;CPU Core #4;,;CPU Core #12;CPU Core #23;CPU Core #34;CPU Core #45;CPU Package;CPU Core #16;CPU Core #27;CPU Core #38;CPU Core #49;CPU Package10;CPU Cores;CPU Graphics;CPU DRAM;Bus Speed;Memory;Used Memory;Available Memory
09/30/2023 23:00:43;28.90625;3.125;3.1129837;0;8,8;70;71;70;74;74;2016.00085;3326.40137;2822.40112;2923.20117;10.1237192;6.965036;0.630813837;0;100.800041;59.39428;9.349255;6.39174652
09/30/2023 23:00:48;9.375;4.6875;17.96875;0.78125;8,2;71;69;73;70;73;1310.40076;1713.601;1915.201;3326.40186;9.840182;6.96340227;0.6437097;0;100.800056;59.3919525;9.348888;6.39211273
09/30/2023 23:00:53;7.03125;8.59375;3.13739777;1.5625;5,1;64;64;65;63;66;1512.00146;1411.20142;1310.40137;1310.40137;4.35442257;2.16894364;0.068208836;0;100.8001;60.36241;9.501648;6.239353
09/30/2023 23:00:58;24.21875;17.96875;16.5178528;12.6984119;17,9;67;64;65;63;69;2620.80273;2419.20264;2016.0022;2016.0022;5.15795135;2.98651576;0.07598969;0;100.80011;59.926075;9.432964;6.308037
09/30/2023 23:01:03;14.0625;14.0625;9.375;6.107223;10,9;61;62;66;62;66;1310.40076;1209.60059;1310.40076;1310.40076;5.9944725;3.32944536;0.491235673;0;100.800056;60.3803177;9.504467;6.236534
09/30/2023 23:01:08;19.59325;6.177884;2.33211517;3.955853;8,0;63;62;63;61;63;1512.001;2520.00146;2923.202;2620.80151;5.94090652;3.21608424;0.487731785;0;100.800064;60.5276146;9.527653;6.21334839
09/30/2023 23:01:13;7.03125;10.9375;0;0;4,5;61;61;63;59;64;1310.40015;1310.40015;1310.40015;1310.40015;4.76933765;2.485894;0.109334141;0;100.800011;61.0578346;9.6111145;6.12988663
09/30/2023 23:17:34;9.375;6.25;0;0;3,9;61;60;64;60;64;1310.39966;1310.39966;1310.39966;1310.39966;4.12477;2.01593137;0.0348861739;0;100.799973;58.73274;9.245121;6.49588
09/30/2023 23:17:39;14.0625;4.6875;0.78125;1.56288147;5,3;59;60;62;59;63;1310.40039;1310.40039;1310.40039;1411.20044;4.53578424;2.26753;0.138146326;0;100.800034;58.27779;9.173508;6.56749344
09/30/2023 23:18:08;12.5;3.125;0;0;3,9;61;61;62;61;63;1310.40039;1411.20044;1310.40039;1209.60034;3.72153878;1.66959488;0.02666429;0;100.800034;58.5715828;9.219753;6.521248
